"","nReads","Biome","Country","Hemisphere","Continent","IS10","IS10R","IS26","IS292","IS621","IS679","ISCR","ISCau1","ISRj1","Tn916","insertion_element_IS91","integrase","istA","istA1","istA11","istA13","istA15","istA17","istA3","istA5","istA7","istB","istB1","istB3","plasmid","qacEdelta","tniA","tniB","tnp.ISCR","transposase"
"99303",124808487,"Freshwater","United States","Northern and Western","North America",1.51432009587617e-13,2.96454198663589e-13,4.3987393261165e-13,1.24991499977081e-13,3.95005189030134e-13,0,2.75261729596962e-12,0,8.35847004539042e-12,7.57961275502042e-13,1.71725092701428e-10,1.86899309179191e-11,8.85544746648519e-12,2.73218599308876e-13,9.56649686811763e-13,4.79935310809432e-13,0,0,2.11178507435957e-11,3.55745038396307e-13,0,1.12840803846937e-11,3.20144414538092e-11,1.3894728168606e-12,3.44395649952875e-12,6.37875691899061e-12,7.71993173829597e-12,5.04231735458823e-12,7.57961275502042e-14,3.91450775298638e-10
"100537",674170754,"Marine","United States","Northern and Western","North America",0,0,0,0,0,0,8.33616701207421e-15,0,0,0,1.27268972275828e-10,0,1.24745844433353e-13,0,0,0,0,0,0,0,0,1.62509274319544e-13,0,0,2.41275001970792e-11,0,6.34854000207787e-14,2.32878686992109e-14,0,6.71317090388053e-10
"102713",70709,"Freshwater","New Zealand","Southern and Eastern","Oceania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.69327119602879e-06
"102903",13708810,"Freshwater","Kenya","Southern and Eastern","Africa",0,0,0,0,0,0,5.83566334349955e-12,0,0,0,1.28512978150547e-09,1.11096630560931e-09,5.59800668329344e-10,5.66788802237393e-12,1.47033914686979e-11,1.73997597165618e-11,2.98348288436414e-12,4.59558488300589e-12,0,3.17937880822624e-11,2.43641862422778e-11,2.46767297817973e-10,0,0,0,5.1242368958356e-10,7.17057133332507e-12,1.11337162014792e-11,0,1.14691110315191e-08
"104741",18693578,"Freshwater","Rwanda","Southern and Eastern","Africa",0,0,0,0,0,0,1.17198590874363e-10,0,0,0,1.62088338572744e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.19726014998306e-11,0,0,2.10062186061973e-08
"106109",8433780,"Freshwater","Kenya","Southern and Eastern","Africa",0,0,6.23036171206742e-11,0,2.03941767511128e-12,0,9.90066138789487e-12,0,0,1.98336570316039e-10,1.47674589567193e-10,4.38711941739054e-10,0,0,0,8.35924105205495e-13,0,0,0,9.55680608220751e-13,0,0,0,0,6.29503129083282e-09,1.72466557107252e-10,3.30920299082973e-10,0,0,6.61840621880106e-09
"SRR12316794",74634932,"Estuary","France","Northern and Eastern","Europe",NA,NA,NA,NA,NA,NA,0,NA,9.5531674095985e-11,NA,2.38360235928131e-10,4.03966335763527e-12,5.01105836071506e-12,0,9.325392029566e-13,0,NA,7.11463098807406e-13,2.87800891946951e-12,NA,NA,3.73819594288637e-11,2.66631180155694e-12,0,0,0,6.75287009037538e-13,2.5135683114175e-12,NA,3.48362345932063e-10
"SRR16004848",3687458,"Estuary","United States","Northern and Western","North America",NA,NA,NA,NA,NA,NA,1.73657571150641e-10,NA,0,NA,7.62539939437954e-09,5.65975205683699e-09,1.6600704333446e-10,0,0,0,NA,0,2.19035091382736e-09,NA,NA,0,1.09782647015912e-09,0,0,9.19859697385028e-10,2.45625767127382e-09,1.43327191794456e-09,NA,1.82455469323312e-08
"SRR16004849",3521488,"Estuary","United States","Northern and Western","North America",NA,NA,NA,NA,NA,NA,0,NA,0,NA,2.04497169946341e-08,3.71324678658567e-09,7.73437819467225e-10,0,0,0,NA,0,1.73830522779007e-09,NA,NA,0,5.68877985669694e-10,0,0,0,1.20586326007642e-09,5.33418543524783e-10,NA,3.82899995683643e-08
"SRR16004854",2203302,"Estuary","United States","Northern and Western","North America",NA,NA,NA,NA,NA,NA,0,NA,1.4750855761035e-09,NA,1.03232266843129e-08,0,0,0,0,0,NA,0,2.09667489976408e-09,NA,NA,0,2.40195942272099e-09,0,0,0,0,0,NA,4.48743063819667e-08
